map_id,player,team,agent,kills,deaths,assists,acs,adr,hs_percent,kd_ratio,source
660377_2,EthanNRG,team_b,Omen,13310,1147,14212,234200249.0,0.0,0.0,11.60418482999128,vlr
660377_2,keikoNRG,team_b,Phoenix,17512,1147,817,284279288.0,0.0,0.0,15.267654751525718,vlr
660377_2,skubaNRG,team_b,Cypher,14311,1055,606,202173215.0,0.0,0.0,13.564928909952606,vlr
660377_2,madaNRG,team_b,Neon,11110,1257,606,16460208.0,0.0,0.0,8.838504375497216,vlr
660378_0,aspasMIBR,,Jett,19136,1679,422,226308145.0,0.0,0.0,11.397260273972602,vlr
660378_0,VernoMIBR,,Skye,1578,1798,844,173173174.0,0.0,0.0,0.8776418242491657,vlr
660378_0,zekkenMIBR,,Neon,17710,1798,514,197154242.0,0.0,0.0,9.849833147942158,vlr
660378_0,MazinoMIBR,,Brimstone,1349,1798,743,176114239.0,0.0,0.0,0.7502780867630701,vlr
660378_0,texMIBR,,Cypher,1284,18810,413,154165144.0,0.0,0.0,0.0682615629984051,vlr
660378_0,Asuna100T,team_b,Raze,291910,16610,532,331381283.0,0.0,0.0,17.574352799518362,vlr
660378_0,Timotino100T,team_b,Neon,221111,1477,734,241253230.0,0.0,0.0,149.70277589708869,vlr
660378_0,bang100T,team_b,Brimstone,19910,1477,1679,218197241.0,0.0,0.0,13.480027081922817,vlr
660378_0,vora100T,team_b,Fade,835,1477,633,12194149.0,0.0,0.0,0.5653351387948544,vlr
660378_0,Cryocells100T,team_b,Cypher,725,19109,826,11174150.0,0.0,0.0,0.0379402375843843,vlr
660378_2,texMIBR,,Astra,16106,1266,312,226337153.0,0.0,0.0,12.721958925750394,vlr
660378_2,MazinoMIBR,,Harbor,1468,15510,532,194195195.0,0.0,0.0,0.0946486137975499,vlr
660378_2,VernoMIBR,,Skye,1046,1468,853,153129171.0,0.0,0.0,0.7125340599455041,vlr
660378_2,aspasMIBR,,Jett,1266,15510,220,168231126.0,0.0,0.0,0.0816247582205029,vlr
660378_2,zekkenMIBR,,Neon,1257,17710,505,190156214.0,0.0,0.0,0.0709768492377188,vlr
660378_2,Asuna100T,team_b,Phoenix,21165,1376,734,291359189.0,0.0,0.0,15.38154069767442,vlr
660378_2,bang100T,team_b,Harbor,17107,1275,1293,216232193.0,0.0,0.0,13.417254901960783,vlr
660378_2,vora100T,team_b,Sova,1376,1156,826,202179236.0,0.0,0.0,1.1903114186851211,vlr
660378_2,Cryocells100T,team_b,Cypher,1257,1266,523,188137267.0,0.0,0.0,0.9928909952606636,vlr
660378_2,Timotino100T,team_b,Neon,1064,1688,312,157139184.0,0.0,0.0,0.6303317535545023,vlr
660379_0,keikoNRG,,Phoenix,23158,1385,615,291414190.0,0.0,0.0,16.72057761732852,vlr
660379_0,skubaNRG,,Cypher,1239,1275,413,143101179.0,0.0,0.0,0.971764705882353,vlr
660379_0,EthanNRG,,Fade,14311,1596,725,18597260.0,0.0,0.0,8.966791979949875,vlr
660379_0,brawkNRG,,Brimstone,14410,1578,1046,177129218.0,0.0,0.0,9.131812420785804,vlr
660379_0,Timotino100T,team_b,Neon,20137,19118,312,274317223.0,0.0,0.0,1.0533005544513023,vlr
660379_0,Asuna100T,team_b,Raze,16412,16106,514,204109318.0,0.0,0.0,1.0189991307587234,vlr
660379_0,Cryocells100T,team_b,Cypher,1596,1697,312,190219156.0,0.0,0.0,0.9404832056570418,vlr
660379_0,vora100T,team_b,Fade,1358,15105,321,160111220.0,0.0,0.0,0.0899040052962595,vlr
660379_0,bang100T,team_b,Brimstone,514,18117,642,8740145.0,0.0,0.0,0.0283711431252414,vlr
660379_2,keikoNRG,,Jett,24915,1495,550,274205343.0,0.0,0.0,16.665551839464882,vlr
660379_2,brawkNRG,,Sova,20713,1376,1266,239197283.0,0.0,0.0,15.053052325581396,vlr
660379_2,EthanNRG,,KAY/O,17125,1376,1358,201263140.0,0.0,0.0,12.445494186046512,vlr
660379_2,madaNRG,,Harbor,1385,1477,1138,154173136.0,0.0,0.0,0.937711577522004,vlr
660379_2,skubaNRG,,Viper,1248,1486,422,14793203.0,0.0,0.0,0.8398384925975774,vlr
660379_2,Cryocells100T,team_b,Cypher,221210,1587,615,241253230.0,0.0,0.0,139.3887838689351,vlr
