map_id,team,agent_1,agent_2,agent_3,agent_4,agent_5,source
678045_0,FUSION,Omen,Viper,Vyse,Fade,Raze,vlr
678045_2,FUSION,Sova,Killjoy,Astra,Neon,Phoenix,vlr
678045_0,FUSION,Omen,Viper,Vyse,Fade,Raze,vlr
678045_2,FUSION,Sova,Killjoy,Astra,Neon,Phoenix,vlr
678044_2,Contra,Jett,Phoenix,Astra,Harbor,Sova,vlr
678044_3,Contra,Deadlock,Cypher,Sova,Jett,Omen,vlr
678043_0,LAZER,Chamber,Sova,Phoenix,Harbor,Neon,vlr
678041_2,LAZER,Fade,Vyse,Viper,Raze,Omen,vlr
676896_0,Leviatán,KAY/O,Harbor,Viper,Jett,Sova,vlr
676896_2,Leviatán,Raze,Viper,Omen,Killjoy,Fade,vlr
676897_2,ShindeN,Astra,KAY/O,Viper,Jett,Sova,vlr
676898_0,BESTIA,Sova,Phoenix,Omen,Neon,Cypher,vlr
676898_2,BESTIA,Neon,Astra,Phoenix,Killjoy,Fade,vlr
676899_0,KRÜ SPARK,Raze,Omen,Viper,Vyse,Fade,vlr
676899_2,KRÜ SPARK,Raze,Vyse,Omen,Viper,Fade,vlr
676902_0,ShindeN,Jett,KAY/O,Sova,Harbor,Viper,vlr
676903_2,BESTIA,Phoenix,Sova,Harbor,Neon,Viper,vlr
676904_0,OXEN,Chamber,Viper,Fade,Omen,Raze,vlr
676904_2,OXEN,KAY/O,Viper,Sova,Harbor,Jett,vlr
676905_0,KRÜ SPARK,Viper,Chamber,Sage,Jett,Sova,vlr
676905_2,KRÜ SPARK,Chamber,Fade,Jett,Omen,Phoenix,vlr
676905_3,KRÜ SPARK,Sova,Omen,Phoenix,Jett,Cypher,vlr
676908_0,Leviatán,Viper,Fade,Omen,Killjoy,Raze,vlr
676908_3,Leviatán,Cypher,KAY/O,Sova,Jett,Omen,vlr
676909_2,ShindeN,Omen,Jett,Phoenix,Sova,Cypher,vlr
676909_3,ShindeN,Sova,KAY/O,Harbor,Viper,Jett,vlr
676907_0,KRÜ SPARK,Vyse,Fade,Raze,Viper,Omen,vlr
676907_2,KRÜ SPARK,Jett,Sage,Sova,Viper,Chamber,vlr
676907_3,KRÜ SPARK,Omen,Phoenix,Cypher,Sova,Jett,vlr
676906_2,KRÜ BLAZE,Vyse,Skye,Viper,Raze,Omen,vlr
676906_2,KRÜ BLAZE,Vyse,Skye,Viper,Raze,Omen,vlr
676907_0,KRÜ SPARK,Vyse,Fade,Raze,Viper,Omen,vlr
676907_2,KRÜ SPARK,Jett,Sage,Sova,Viper,Chamber,vlr
676907_3,KRÜ SPARK,Omen,Phoenix,Cypher,Sova,Jett,vlr
676909_2,ShindeN,Omen,Jett,Phoenix,Sova,Cypher,vlr
676909_3,ShindeN,Sova,KAY/O,Harbor,Viper,Jett,vlr
676908_0,Leviatán,Viper,Fade,Omen,Killjoy,Raze,vlr
676908_3,Leviatán,Cypher,KAY/O,Sova,Jett,Omen,vlr
676905_0,KRÜ SPARK,Viper,Chamber,Sage,Jett,Sova,vlr
676905_2,KRÜ SPARK,Chamber,Fade,Jett,Omen,Phoenix,vlr
676905_3,KRÜ SPARK,Sova,Omen,Phoenix,Jett,Cypher,vlr
681780_0,IGZIST,Astra,Fade,Killjoy,Jett,Phoenix,vlr
681780_2,IGZIST,Neon,Sova,Chamber,Omen,Phoenix,vlr
681781_0,FENNEL,Raze,Omen,Vyse,Viper,Fade,vlr
681781_2,FENNEL,Omen,Jett,Viper,Sage,Fade,vlr
681782_0,RIDDLE ORDER,Neon,Harbor,KAY/O,Viper,Sova,vlr
681782_2,RIDDLE ORDER,Neon,Omen,Vyse,Fade,Viper,vlr
