round_id,map_id,round_number,winner,win_type,spike_planted,econ_a,econ_b,duration_seconds,source
660372_2_20,660372_2,20,draw/unknown,elimination,False,0,0,,vlr
660372_2_21,660372_2,21,draw/unknown,elimination,False,0,0,,vlr
660372_2_22,660372_2,22,draw/unknown,elimination,False,0,0,,vlr
660372_2_23,660372_2,23,draw/unknown,elimination,False,0,0,,vlr
660372_2_24,660372_2,24,draw/unknown,elimination,False,0,0,,vlr
660373_0_1,660373_0,1,draw/unknown,elimination,False,0,0,,vlr
660373_0_1,660373_0,1,draw/unknown,elimination,False,0,0,,vlr
660373_0_1,660373_0,1,draw/unknown,elimination,False,0,0,,vlr
660373_0_2,660373_0,2,draw/unknown,spike,True,0,0,,vlr
660373_0_3,660373_0,3,draw/unknown,elimination,False,0,0,,vlr
660373_0_4,660373_0,4,draw/unknown,spike,True,0,0,,vlr
660373_0_5,660373_0,5,draw/unknown,elimination,False,0,0,,vlr
660373_0_6,660373_0,6,draw/unknown,elimination,False,0,0,,vlr
660373_0_7,660373_0,7,draw/unknown,elimination,False,0,0,,vlr
660373_0_8,660373_0,8,draw/unknown,elimination,False,0,0,,vlr
660373_0_9,660373_0,9,draw/unknown,spike,True,0,0,,vlr
660373_0_10,660373_0,10,draw/unknown,defuse,True,0,0,,vlr
660373_0_11,660373_0,11,draw/unknown,elimination,False,0,0,,vlr
660373_0_12,660373_0,12,draw/unknown,elimination,False,0,0,,vlr
660373_0_13,660373_0,13,draw/unknown,elimination,False,0,0,,vlr
660373_0_14,660373_0,14,draw/unknown,elimination,False,0,0,,vlr
660373_0_15,660373_0,15,draw/unknown,defuse,True,0,0,,vlr
660373_0_16,660373_0,16,draw/unknown,elimination,False,0,0,,vlr
660373_0_17,660373_0,17,draw/unknown,elimination,False,0,0,,vlr
660373_0_18,660373_0,18,draw/unknown,elimination,False,0,0,,vlr
660373_0_19,660373_0,19,draw/unknown,elimination,False,0,0,,vlr
660373_0_20,660373_0,20,draw/unknown,elimination,False,0,0,,vlr
660373_0_21,660373_0,21,draw/unknown,elimination,False,0,0,,vlr
660373_0_22,660373_0,22,draw/unknown,elimination,False,0,0,,vlr
660373_0_23,660373_0,23,draw/unknown,elimination,False,0,0,,vlr
660373_0_24,660373_0,24,draw/unknown,elimination,False,0,0,,vlr
660373_2_1,660373_2,1,draw/unknown,elimination,False,0,0,,vlr
660373_2_1,660373_2,1,draw/unknown,elimination,False,0,0,,vlr
660373_2_1,660373_2,1,draw/unknown,elimination,False,0,0,,vlr
660373_2_2,660373_2,2,draw/unknown,spike,True,0,0,,vlr
660373_2_3,660373_2,3,draw/unknown,defuse,True,0,0,,vlr
660373_2_4,660373_2,4,draw/unknown,spike,True,0,0,,vlr
660373_2_5,660373_2,5,draw/unknown,elimination,False,0,0,,vlr
660373_2_6,660373_2,6,draw/unknown,elimination,False,0,0,,vlr
660373_2_7,660373_2,7,draw/unknown,spike,True,0,0,,vlr
660373_2_8,660373_2,8,draw/unknown,spike,True,0,0,,vlr
660373_2_9,660373_2,9,draw/unknown,elimination,False,0,0,,vlr
660373_2_10,660373_2,10,draw/unknown,elimination,False,0,0,,vlr
660373_2_11,660373_2,11,draw/unknown,elimination,False,0,0,,vlr
660373_2_12,660373_2,12,draw/unknown,elimination,False,0,0,,vlr
660373_2_13,660373_2,13,draw/unknown,elimination,False,0,0,,vlr
660373_2_14,660373_2,14,draw/unknown,spike,True,0,0,,vlr
660373_2_15,660373_2,15,draw/unknown,spike,True,0,0,,vlr
660373_2_16,660373_2,16,draw/unknown,elimination,False,0,0,,vlr
660373_2_17,660373_2,17,draw/unknown,elimination,False,0,0,,vlr
660373_2_18,660373_2,18,draw/unknown,elimination,False,0,0,,vlr
660373_2_19,660373_2,19,draw/unknown,defuse,True,0,0,,vlr
660373_2_20,660373_2,20,draw/unknown,spike,True,0,0,,vlr
660373_2_21,660373_2,21,draw/unknown,elimination,False,0,0,,vlr
660373_2_22,660373_2,22,draw/unknown,elimination,False,0,0,,vlr
660373_2_23,660373_2,23,draw/unknown,elimination,False,0,0,,vlr
660373_2_24,660373_2,24,draw/unknown,elimination,False,0,0,,vlr
660373_3_1,660373_3,1,draw/unknown,elimination,False,0,0,,vlr
660373_3_1,660373_3,1,draw/unknown,elimination,False,0,0,,vlr
